,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1962,False,/3KtttM8kMPG1mIfN6RXxTv6SLer.jpg,[27],572697,en,Flatmates,"Having returned from living abroad, Sarah, moves into what it appears to be the perfect flat. It's spacious and reasonably cheap too. But, the flat hides a terrible secret as the previous tenant has unsuspectingly not moved out. Sarah is about to discover she has an unwanted ghostly ""flatmate"".",0.6,/3a5uxzzU4cL7LgAwvIJxKxq8NHs.jpg,2018-02-01,Flatmates,False,1.0,1
1963,False,,[16],572700,es,Zombie Time,"Two zombies, one fate.",0.6,/l7KXBp74vgIbAVamDfrengnmofE.jpg,2018-04-09,Zombie Time,False,0.0,0
1964,False,/haSZqNSZFSSktrBArIi5z25tAzy.jpg,"[53, 18]",575107,fr,Une sœur,A night. A car. Alie is in danger. To get by she must make the most important phone call of her life.,2.638,/xtrSb61G0x8wALUNlEFjGPsECgq.jpg,2018-10-01,A Sister,False,7.7,49
1965,False,,[16],575127,fr,La bague au doigt,"On Valentine's Day, the romantic Icaro wants to propose to his girlfriend Vanilla in their favorite restaurant. But chef Dimitri pulls out all the stops to make sure young Icaro fails.",0.6,/AaeynSUBep5sR7ESvZUpRxVk162.jpg,2018-09-30,The Proposal,False,7.0,1
1966,False,,[99],575129,no,There's Always Next Season,"Searching for proof of a two-decade old legend, a first-time director discovers not only a gripping tale of friendship, passion and faded dreams, but one last chance to make things right.",0.6,/nwDsIDYtoQApWDaDxyXdGx1AOnJ.jpg,2018-09-29,There's Always Next Season,False,0.0,0
1967,False,,[16],575134,fr,Not Today,"At 85, she’s wakened by her usual alarm. We see her through her routine. A surpise visitor comes at the door. Quick, she powders her nose and open the door to the… Death. She invited her in happily…. What comes next? See it on screen!",0.601,/bxKJ567mCgW2FtOyCUGQZsG6gRN.jpg,2018-09-30,Not Today,False,0.0,0
1968,False,/ocZNu6LS2TKJ6UhE8TKYzi84Wj9.jpg,[16],575139,en,Werewolf Luv,Short Hand Drawn Animation - Love story,0.6,/hN7rcp1RDfme1SJ07yO3EGNEs5C.jpg,2018-05-07,Werewolf Luv,False,0.0,0
1969,False,,"[27, 18]",575141,en,Haunted 2: Apparitions,"A private investigator looks into the Halloween horror nights phenomenon. On a rural farm in deepest, darkest England he encounters a series of bizarre paranormal events that lead to a mystery being solved with frightening consequences.",1.4,/eN7SNsmLe9yMIsxWY5i9p0dhJ3d.jpg,2018-09-25,Haunted 2: Apparitions,False,5.3,2
1970,False,,"[18, 878]",575159,fr,Squad Leader TD-73028 Soliloquy,"Star Wars meets Shakespeare in this timely nod to both the 40th celebration of Star Wars release and the recent 400th anniversary of the Bard's death. Hamlet's famous soliloquy is presented as the inner voice of a Stormtrooper, demonstrating the way Shakespeare's language still echoes down to us through the centuries and remains as relevant today as ever---not to mention as well in a galaxy far, far away...",0.6,/3yx7vihnUHITsRi7Ob1b4Z4Lv7.jpg,2018-03-15,Squad Leader TD-73028 Soliloquy,False,0.0,0
1971,False,,[],575161,en,All Alone Before Frozen Gods,We drive through an unconcerned landscape. Analogue transmutations briefly engage our distracted memories.,0.6,/jFy6tKqxP9WvD15YGV3I6VnLTrF.jpg,2018-11-13,All Alone Before Frozen Gods,False,0.0,0
